Symptoms of mental illness,Unarmed/Did Not Have an Actual Weapon,Alleged Weapon,Fleeing,Body Camera,Victims gender,Victims race
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,others,Not fleeing,No,Male,Unknown race
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,No,Male,White
Yes,Allegedly Armed,gun,Inputed NF,No,Male,White
Unknown,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Female,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,White
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Black
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,others,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,White
No,Allegedly Armed,others,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Vehicle,vehicle,Car,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Other,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Foot,No,Female,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Other,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Vehicle,vehicle,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,knife,Car,Yes,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Other,No,Male,Black
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Foot,No,Male,Unknown race
No,Vehicle,vehicle,Car,No,Female,White
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,Black
Yes,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black
No,Allegedly Armed,gun,Not fleeing,Inputed No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Vehicle,vehicle,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
Yes,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,Yes,Male,Unknown race
No,Unclear,undetermined,Inputed NF,No,Male,Unknown race
Yes,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Unclear,undetermined,Not fleeing,Yes,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,gun,Foot,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Drug or alcohol use,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Female,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,White
No,Unclear,undetermined,Car,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Unknown,Allegedly Armed,knife,Inputed NF,No,Male,White
Unknown,Allegedly Armed,gun,Foot,No,Female,White
Unknown,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Allegedly Armed,knife,Other,No,Male,Black
Drug or alcohol use,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Other,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Female,Unknown race
No,Unclear,undetermined,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
Unknown,Allegedly Armed,gun,Not fleeing,No,Female,Asian
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Asian
No,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Unknown race
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Unclear,undetermined,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Unclear,undetermined,Foot,No,Male,Native American
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,knife,Car,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Asian
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Other,No,Male,White
Unknown,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Hispanic
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Female,White
No,Allegedly Armed,gun,Car,No,Male,Black
Drug or alcohol use,Allegedly Armed,others,Foot,Yes,Male,Black
No,Allegedly Armed,gun,Other,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Female,Unknown race
Yes,Allegedly Armed,gun,Foot,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Unknown race
No,Unclear,undetermined,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,Unknown race
Yes,Allegedly Armed,others,Not fleeing,No,Male,Unknown race
No,Unclear,undetermined,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Foot,No,Male,Black
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,No,Male,White
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,knife,Not fleeing,No,Female,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Allegedly Armed,others,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Yes,Male,Black
No,Unclear,undetermined,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,undetermined,Inputed NF,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
Yes,Allegedly Armed,knife,Not fleeing,No,Female,Asian
No,Allegedly Armed,gun,Inputed NF,No,Male,Asian
No,Allegedly Armed,knife,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Black
No,Unarmed/Did Not Have an Actual Weapon,others,Inputed NF,No,Male,White
No,Vehicle,vehicle,Car,No,Male,Black
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Female,White
No,Vehicle,vehicle,Car,No,Male,White
Drug or alcohol use,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Other,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Transgender,Black
No,Allegedly Armed,others,Inputed NF,No,Male,Hispanic
No,Allegedly Armed,others,Car,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Unclear,undetermined,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Female,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,White
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,White
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
Drug or alcohol use,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
Yes,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
Yes,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,Yes,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Allegedly Armed,others,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Foot,Yes,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Asian
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Unclear,undetermined,Foot,No,Male,Black
No,Vehicle,vehicle,Inputed NF,Yes,Male,Hispanic
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,knife,Foot,Yes,Male,Black
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Inputed NF,No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Other,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Black
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Black
Unknown,Allegedly Armed,gun,Foot,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Vehicle,vehicle,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Yes,Allegedly Armed,knife,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Unknown race
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Yes,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,others,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,knife,Car,No,Male,White
No,Allegedly Armed,gun,Foot,No,Male,Unknown race
No,Allegedly Armed,others,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Inputed NF,No,Transgender,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,White
Unknown,Unclear,others,Foot,No,Male,Black
Unknown,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,Pacific Islander
Drug or alcohol use,Allegedly Armed,others,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
Unknown,Allegedly Armed,knife,Not fleeing,Yes,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Car,Yes,Male,Black
No,Allegedly Armed,gun,Foot,No,Male,Hispanic
Yes,Allegedly Armed,knife,Car,No,Male,White
No,Allegedly Armed,others,Inputed NF,No,Male,Hispanic
Unknown,Allegedly Armed,knife,Foot,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
Yes,Allegedly Armed,others,Not fleeing,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Female,White
No,Allegedly Armed,gun,Foot,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,Hispanic
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,knife,Not fleeing,Yes,Male,Hispanic
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,Yes,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unclear,undetermined,Car,No,Male,Unknown race
Unknown,Allegedly Armed,gun,Other,Yes,Male,Black
Yes,Allegedly Armed,others,Inputed NF,Inputed No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,knife,Foot,No,Male,Unknown race
Yes,Unarmed/Did Not Have an Actual Weapon,no object,Foot,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,no object,Foot,Yes,Male,Black
No,Vehicle,vehicle,Other,No,Male,Hispanic
No,Vehicle,vehicle,Inputed NF,Inputed No,Female,Unknown race
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Unknown race
Drug or alcohol use,Allegedly Armed,others,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,White
Unknown,Allegedly Armed,gun,Not fleeing,No,Male,Asian
No,Vehicle,vehicle,Car,No,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Allegedly Armed,gun,Car,No,Male,White
No,Allegedly Armed,gun,Not fleeing,Yes,Male,Unknown race
No,Allegedly Armed,gun,Inputed NF,No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Car,Yes,Male,Hispanic
Yes,Allegedly Armed,gun,Not fleeing,No,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Not fleeing,No,Male,Unknown race
No,Vehicle,vehicle,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
No,Allegedly Armed,knife,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,knife,Not fleeing,No,Male,Unknown race
No,Unarmed/Did Not Have an Actual Weapon,others,Foot,No,Male,Black
No,Allegedly Armed,gun,Car,Yes,Male,Black
Yes,Allegedly Armed,others,Foot,No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Hispanic
No,Allegedly Armed,gun,Inputed NF,Inputed No,Male,Unknown race
No,Allegedly Armed,gun,Not fleeing,Yes,Male,White
No,Unarmed/Did Not Have an Actual Weapon,no object,Inputed NF,Inputed No,Male,Black
Yes,Allegedly Armed,gun,Other,No,Male,White
Unknown,Allegedly Armed,others,Not fleeing,No,Male,Black
No,Allegedly Armed,gun,Not fleeing,No,Male,Unknown race
